word,meaning,part_of_speech,example
นาตาชา,คนที่มีพฤติกรรมพยายามล้วงความลับผู้อื่น,คำนาม, a 
จึ้ง,ตะลึง ที่น่าประทับใจ,คำคุณศัพท์ คำวิเศษณ์ ,a 
ฉ่ำ,มาก เยอะ,คำวิเศษณ์ ,a 
ตะโกน,มาก,คำวิเศษณ์ ,a 
หวาน,โกหก,คำกริยา, a 
ดอทคอม,ยุ่งเรื่องคนอื่น,คำกริยา, a 
ตำ,ซื้อ,คำกริยา, a 
ฉีดยา,ชมเกินจริง,คำกริยา, a 
มู่ลี่,แกล้งแบบไม่จริงจัง,คำกริยา, a 
บ้ง,แย่,คำคุณศัพท์ คำวิเศษณ์, a 
บูด,แย่,คำคุณศัพท์ คำวิเศษณ์, a 
บิด,ผิดสัญญา ผิดคำพูด,คำกริยา, a 
ป้ายยา,ชักชวน,คำกริยา, a 
เกาเหลา,ไม่ถูกกัน,คำกริยา, a 
เฟียสกี,มั่นใจ,คำคุณศัพท์, a 
ฟาด,ดีมาก,คำคุณศัพท์ คำวิเศษณ์, a 
นอย,อารมณ์ไม่ดี,คำกริยา, a 
อ่อม,น่าเบื่อ,คำคุณศัพท์, a 
โฮ่ง,ดีมาก,คำคุณศัพท์ คำวิเศษณ์, a 
ตัวพ่อ,ผู้ชายที่มีความสามารถในด้านนั้น ๆ,คำนาม, a 
ตัวแม่,ผู้หญิงที่มีความสามารถในด้านนั้น ๆ,คำนาม, a 
วาป,ช่องทางติดต่อหรือติดตาม,คำนาม, a 
ลำไย,รำคาญ,คำกริยา, a 
เงาะ,งง,คำกริยา, a 
ส้ม,ยุ่งเรื่องคนอื่น,คำกริยา, a 
มะนาว,คิดไปเอง,คำกริยา, a 
กล้วย,ง่าย,คำคุณศัพท์ คำวิเศษณ์, a 
ละมุด,เนียน,คำกริยา, a 
แตงโม,อ้วน,คำคุณศัพท์, a 
เชอร์รี่,ผู้หญิงที่มีเพศสัมพันธ์กับผู้อื่นไปทั่ว,คำนาม, a 
อ้อย,ยั่วยวน,คำกริยา, a 
สตอเบอรี่,เสแสร้ง,คำกริยา, a 
มะม่วง,โง่,คำคุณศัพท์, a 
บีทรูท,เน่าเสีย,คำกริยา, a 
ปัง,ดีมาก,คำคุณศัพท์ คำวิเศษณ์, a 
ติดแกลม,ติดสวย ติดหรู,คำกริยา, a 
เยี่ยว,ดีมาก,คำคุณศัพท์ คำวิเศษณ์, a 
ปั๊ว,ดีมาก,คำคุณศัพท์ คำวิเศษณ์, a 
แกง,แกล้ง,คำกริยา, a 
จ้อจี้,ล้อเล่น,คำกริยา, a 
ต๊าซ,สุดยอด,คำคุณศัพท์ คำวิเศษณ์, a 
โป๊ะแตก,ถูกจับได้ ถูกผู้อื่นล้วงรู้,คำกริยา, a 
ตุ้บ,ผิดหวัง,คำกริยา, a 
ยม,เหนื่อย,คำคุณศัพท์, a 
เฉียบ,ดี,คำคุณศัพท์ คำวิเศษณ์, a 
เอือด,ร้อน,คำคุณศัพท์ คำวิเศษณ์, a 
เม็ด,เรื่องมาก,คำกริยา, a 
จกตา,หลอกลวง,คำกริยา, a 
